seed,initial-fitness,final-fitness,fitness-improvement,initial-training-score,final-training-score,training-score-improvement,initial-nodes,final-nodes,node-reduction,initial-depth,final-depth,depth-reduction,outer-runtime-ms
1,0.987787857883276,0.9887878578832761,0.0010000000000000009,0.995287857883276,0.995287857883276,0.0,15,13,2,5,4,1,44499.889966
2,0.98797747409543,0.9891599509065317,0.0011824768111017292,0.99547747409543,0.9961599509065318,6.824768111017843E-4,15,14,1,5,5,0,57840.336097
3,0.976787857883276,0.9887878578832761,0.01200000000000001,0.995287857883276,0.995287857883276,0.0,37,13,24,8,4,4,46313.07074
4,0.9887878578832761,0.9887878578832761,0.0,0.995287857883276,0.995287857883276,0.0,13,13,0,4,4,0,39012.336599
5,0.980287857883276,0.9890880716128571,0.008800213729581063,0.995287857883276,0.9960880716128571,8.002137295810563E-4,30,14,16,8,5,3,54669.19545
6,0.9884332067204852,0.9887878578832761,3.546511627908755E-4,0.9954332067204852,0.995287857883276,-1.4534883720918046E-4,14,13,1,5,4,1,57704.624295
7,0.965287857883276,0.9894223954540076,0.024134537570731585,0.995287857883276,0.9964223954540076,0.0011345375707315641,60,14,46,8,5,3,47837.577378
8,0.986287857883276,0.9887878578832761,0.0025000000000000577,0.995287857883276,0.995287857883276,0.0,18,13,5,5,4,1,56344.482399
9,0.98397747409543,0.9887878578832761,0.00481038378784604,0.99547747409543,0.995287857883276,-1.8961621215396463E-4,23,13,10,6,4,2,39566.613354
10,0.980287857883276,0.9889654032337273,0.008677545350451288,0.995287857883276,0.9959654032337273,6.775453504512807E-4,30,14,16,8,5,3,46579.026663
11,0.9887878578832761,0.9887878578832761,0.0,0.995287857883276,0.995287857883276,0.0,13,13,0,4,4,0,41542.546033
12,0.985287857883276,0.9888700343275213,0.0035821764442452997,0.995287857883276,0.9958700343275213,5.82176444245297E-4,20,14,6,6,5,1,51777.965367
13,0.9887878578832761,0.9887878578832761,0.0,0.995287857883276,0.995287857883276,0.0,13,13,0,4,4,0,41719.57374
14,0.9885027009511843,0.9887878578832761,2.8515693209174575E-4,0.9955027009511843,0.995287857883276,-2.148430679083102E-4,14,13,1,5,4,1,45936.552386
15,0.987787857883276,0.9887878578832761,0.0010000000000000009,0.995287857883276,0.995287857883276,0.0,15,13,2,5,4,1,33839.099622
16,0.9887878578832761,0.9887878578832761,0.0,0.995287857883276,0.995287857883276,0.0,13,13,0,4,4,0,59189.127691
17,0.9887878578832761,0.9891599509065317,3.7209302325569293E-4,0.995287857883276,0.9961599509065318,8.720930232557489E-4,13,14,-1,4,5,-1,37529.503918
18,0.9887878578832761,0.9894684070376488,6.805491543727671E-4,0.995287857883276,0.9964684070376488,0.001180549154372823,13,14,-1,4,5,-1,54987.731783
19,0.9844033875102346,0.9892744794900317,0.004871091979797071,0.9924033875102346,0.9962744794900317,0.00387109197979707,16,14,2,4,5,-1,41922.847997
20,0.987787857883276,0.9890488540770062,0.0012609961937301017,0.995287857883276,0.9960488540770062,7.609961937301568E-4,15,14,1,5,5,0,45366.245569
21,0.9888208036197101,0.9888208036197101,0.0,0.9958208036197101,0.9958208036197101,0.0,14,14,0,5,5,0,47657.064303
22,0.987287857883276,0.9887878578832761,0.0015000000000000568,0.995287857883276,0.995287857883276,0.0,16,13,3,4,4,0,35719.134158
23,0.979787857883276,0.9887878578832761,0.009000000000000008,0.995287857883276,0.995287857883276,0.0,31,13,18,8,4,4,51013.481416
24,0.970787857883276,0.9887878578832761,0.018000000000000016,0.995287857883276,0.995287857883276,0.0,49,13,36,8,4,4,38503.244323
25,0.9887878578832761,0.9891181285319475,3.3027064867141576E-4,0.995287857883276,0.9961181285319475,8.302706486714717E-4,13,14,-1,4,5,-1,46351.666668
26,0.9887878578832761,0.9887925504927673,4.6926094912080885E-6,0.995287857883276,0.9957925504927673,5.04692609491264E-4,13,14,-1,4,5,-1,57949.211617
27,0.9100517704716186,0.9890172835900032,0.07896551311838462,0.9190517704716186,0.9960172835900032,0.07696551311838462,18,14,4,6,5,1,49842.14265
28,0.9887878578832761,0.9901705763653444,0.0013827184820683902,0.995287857883276,0.9971705763653445,0.0018827184820684462,13,14,-1,4,5,-1,49019.532083
29,0.9887878578832761,0.9892129466592327,4.2508877595659467E-4,0.995287857883276,0.9962129466592327,9.250887759566506E-4,13,14,-1,4,5,-1,40469.00251
30,0.982787857883276,0.9887878578832761,0.006000000000000005,0.995287857883276,0.995287857883276,0.0,25,13,12,7,4,3,36542.251968
